Album Name,Directory,Artist,Genre,Label,Format
TakeCare,Album/takecareDrake.png,Drake,Hip Hop/Rap,Young Money Entertainment,Album
Trilogy,Album/trilogyWeeknd.png,The Weeknd,R&B/Soul,Republic Records,Album
Delight,Album/delightBaekhyun.png,Baekhyun,K-R&B,S.M Entertainment,EP
130MoodTRBL,Album/130moodTRBL.png,DEAN,K-R&B,Universal Music Group,Album
Anniversary,Album/anniversaryBrysonTiller.png,Bryson Tiller,R&B/Soul,Album,Album
SOS,Album/sosSZA.png,SZA,R&B/Soul,RCA Records,Album
Utopia,Album/utopiaTravisScott.png,Travis Scott,Hip Hop/Rap,Epic Records,Album
Speak Now (Taylor’s Version),Album\speaknowTV.png,Taylor Swift,Pop,Republic Records,Album
Pink Tape,Album\pinktapeLilUziVert.png,Lil Uzi Vert,Hip Hop/Rap,Atlantic Records,Album
FREE 6LACK,Album\free6lack6LACK.png,6LACK,R&B/Soul, Interscope Records,Album
Igor,Album\igorTylerTheCreater.png,"Tyler, the Creator",R&B/Soul,Columbia Records,Album
